Symbol,LTP,% Change,Open,High,Low,Qty,PClose,Diff
ACLBSL,939.00,-1.68,945.00,952.00,935.00,"1,611",955.00,-16
ADBL,305.00,-0.33,308.00,308.00,303.00,"8,138",306.00,-1
AHL,468.60,-0.3,493.00,493.00,455.00,"9,472",470.00,-1.4
AHPC,264.30,-0.3,265.10,267.00,264.00,"49,651",265.10,-0.8
AKJCL,362.60,-1.12,363.30,369.90,361.00,"419,420",366.70,-4.1
AKPL,256.80,-0.43,269.80,269.80,246.40,"43,756",257.90,-1.1
ALBSL,"1,070.00",-1.38,"1,067.00","1,084.00","1,055.00","14,709","1,085.00",-15
ALICL,440.10,-0.65,435.10,443.00,435.00,"13,287",443.00,-2.9
ANLB,"5,894.00",-0.1,"5,725.10","5,894.00","5,721.00",333,"5,900.00",-6
APHL,875.00,-2.78,880.00,905.00,873.10,"25,803",900.00,-25
API,336.90,0.27,338.90,358.00,334.00,"185,402",336.00,0.9
AVYAN,"1,060.00",0.01,"1,040.10","1,070.00","1,040.10","1,451","1,059.90",0.1
BANDIPUR,770.00,0.64,762.00,788.00,760.50,"10,998",765.10,4.9
BARUN,325.00,-1.22,322.00,329.90,322.00,"12,410",329.00,-4
BBC,"4,260.00",1.43,"4,290.00","4,293.00","4,190.00",254,"4,200.00",60
BEDC,342.50,-1.27,354.00,354.00,340.00,"21,011",346.90,-4.4
BFC,513.00,-0.39,519.00,520.00,506.30,"44,614",515.00,-2
BGWT,598.90,3.26,597.00,614.70,563.00,"4,420",580.00,18.9
BHCL,558.70,1.21,552.00,559.00,543.10,"82,999",552.00,6.7
BHDC,444.00,-0.89,426.00,450.00,426.00,"6,232",448.00,-4
BHL,210.20,-0.38,221.50,221.50,204.90,"27,113",211.00,-0.8
BHPL,505.50,-0.59,519.90,519.90,505.50,"1,342",508.50,-3
BJHL,825.00,-1.67,839.00,862.00,814.60,"3,860",839.00,-14
BNHC,315.10,-0.94,320.00,324.80,315.00,"3,805",318.10,-3
BNL,"14,744.00",-3,"14,744.00","14,744.00","14,744.00",10,"15,200.00",-456
BNT,"11,740.00",-0.39,"11,739.90","11,740.00","11,739.90",50,"11,786.00",-46
BOKD86,"1,105.00",1.38,"1,136.40","1,136.40","1,105.00","98,799","1,090.00",15
BPCL,654.90,0.75,617.50,670.00,617.50,"44,676",650.00,4.9
BUNGAL,662.00,0.61,669.90,682.00,652.00,"59,751",658.00,4
C30MF,10.00,0,10.00,10.00,10.00,100,10.00,0
CBBL,910.70,-0.03,911.00,914.00,910.00,"12,223",911.00,-0.3
CFCL,619.50,-0.85,593.60,643.00,593.60,"62,869",624.80,-5.3
CGH,764.00,-0.78,770.00,770.00,764.00,"6,617",770.00,-6
CHCL,477.00,-0.27,483.00,483.00,476.60,"12,562",478.30,-1.3
CHDC,"2,165.30",-0.67,"2,209.00","2,209.00","2,140.10","9,754","2,180.00",-14.7
CHL,265.00,-0.75,275.00,275.00,263.20,"7,045",267.00,-2
CIT,"1,702.00",-0.12,"1,729.00","1,729.00","1,699.00","8,228","1,704.00",-2
CITY,407.90,4.51,391.00,413.80,387.00,"287,346",390.30,17.6
CIZBD90,"1,223.00",-1.45,"1,223.00","1,223.00","1,223.00","2,647","1,241.00",-18
CKHL,620.00,-0.8,627.00,627.00,609.00,597,625.00,-5
CLI,447.50,-0.16,448.20,450.00,447.00,"7,226",448.20,-0.7
CMF2,9.86,-0.9,9.66,9.94,9.66,"1,700",9.95,-0.09
CORBL,"1,714.00",0.81,"1,700.00","1,729.90","1,680.10","2,695","1,700.20",13.8
CREST,"1,198.90",3,"1,198.80","1,271.00","1,135.00","12,425","1,164.00",34.9
CSY,9.20,0,9.00,9.30,9.00,"6,100",9.20,0
CYCL,"1,432.90",-2.03,"1,420.00","1,444.00","1,396.20","2,241","1,462.60",-29.7
CZBIL,198.00,1.49,197.70,198.70,194.50,"29,095",195.10,2.9
CZBILP,105.80,-2.94,105.80,105.80,105.80,"14,825",109.00,-3.2
DDBL,830.00,-0.41,840.00,840.00,827.50,"6,800",833.40,-3.4
DHEL,595.00,0.51,586.10,604.00,586.10,"9,290",592.00,3
DHPL,285.00,0.6,280.30,290.00,280.30,"1,797",283.30,1.7
DLBS,"1,235.00",-3.3,"1,238.90","1,298.90","1,211.10",740,"1,277.20",-42.2
DOLTI,346.00,-1.4,351.00,352.00,345.10,"24,507",350.90,-4.9
DORDI,248.00,-1.2,252.00,253.00,248.00,"30,374",251.00,-3
EBL,700.00,0.14,701.50,701.50,696.30,"20,087",699.00,1
EBLD86,"1,100.00",1.2,"1,100.00","1,100.00","1,100.00",300,"1,087.00",13
EBLEB89,"1,080.00",1.41,"1,079.90","1,080.00","1,079.90",60,"1,065.00",15
EDBL,555.60,-0.96,560.10,565.00,555.60,"5,152",561.00,-5.4
EHPL,381.70,-0.34,402.10,402.10,381.10,"7,095",383.00,-1.3
ENL,846.50,-0.06,826.00,847.00,822.00,293,847.00,-0.5
FMDBL,770.00,-0.26,810.60,810.60,760.00,"8,921",772.00,-2
FOWAD,990.00,-0.6,"1,020.00","1,020.00",990.00,"1,406",996.00,-6
GBBL,405.80,0.22,404.90,413.00,404.90,"18,698",404.90,0.9
GBILD84/85,"1,128.00",2.55,"1,129.70","1,129.70","1,120.00","254,207","1,100.00",28
GBILD86/87,"1,141.80",3.09,"1,141.80","1,141.80","1,108.00","290,470","1,107.60",34.2
GBIME,236.70,-1.38,237.00,240.40,236.00,"44,620",240.00,-3.3
GBIMESY2,9.25,0.22,9.23,9.25,9.23,500,9.23,0.02
GBLBS,767.60,0.08,769.00,770.00,755.00,782,767.00,0.6
GCIL,362.50,-0.68,373.00,373.00,358.10,"18,881",365.00,-2.5
GFCL,630.00,-0.46,636.00,636.00,625.00,"5,026",632.90,-2.9
GHL,222.00,-0.8,223.80,224.00,220.90,"16,233",223.80,-1.8
GIBF1,10.53,-1.13,10.53,10.84,10.53,510,10.65,-0.12
GILB,"1,102.00",0.09,"1,101.00","1,102.90","1,086.00",182,"1,101.00",1
GLBSL,"1,800.00",-1.91,"1,835.00","1,835.00","1,785.00","1,021","1,835.00",-35
GLH,252.60,0.24,256.90,256.90,250.00,"27,963",252.00,0.6
GMFBS,"1,226.20",-1.35,"1,270.00","1,270.00","1,226.00",575,"1,243.00",-16.8
GMFIL,471.40,-0.76,482.90,482.90,465.50,"10,003",475.00,-3.6
GMLI,"1,167.00",-0.6,"1,148.00","1,170.00","1,148.00",936,"1,174.00",-7
GRDBL,"1,048.00",0.77,"1,054.00","1,054.00","1,040.00","3,317","1,040.00",8
GSY,10.00,0,9.80,10.00,9.80,"2,300",10.00,0
GUFL,545.00,-1.16,551.00,555.00,543.00,"8,169",551.40,-6.4
GVL,477.60,-0.08,477.30,480.00,477.30,"13,040",478.00,-0.4
GWFD83,"1,071.00",-0.58,"1,078.60","1,078.60","1,070.50",200,"1,077.30",-6.3
H8020,11.50,-0.26,11.50,11.61,11.50,"11,499",11.53,-0.03
HATHY,722.00,-2.41,740.00,740.00,722.00,"6,784",739.80,-17.8
HBL,193.00,-0.97,193.00,195.50,192.10,"25,765",194.90,-1.9
HBLD86,"1,200.00",2.92,"1,200.00","1,200.00","1,200.00",15,"1,166.00",34
HDHPC,207.80,-0.57,209.00,211.80,206.70,"86,401",209.00,-1.2
HDL,"1,147.00",0,"1,147.00","1,156.90","1,145.00","17,608","1,147.00",0
HEI,538.00,0,553.00,553.00,538.00,"3,859",538.00,0
HEIP,327.90,-4.93,344.00,350.00,327.90,"2,045",344.90,-17
HFIN,755.00,0.27,755.00,765.00,748.10,"27,566",753.00,2
HHL,342.00,0.59,324.90,346.90,324.90,"29,544",340.00,2
HIDCL,254.90,-0.62,253.00,257.00,253.00,"47,991",256.50,-1.6
HIDCLP,189.00,-0.53,191.80,192.90,188.00,"82,361",190.00,-1
HIMSTAR,750.00,-3.23,753.10,785.00,750.00,"3,483",775.00,-25
HLBSL,875.00,0,884.00,884.80,860.00,"1,808",875.00,0
HLI,328.90,-0.63,334.60,334.60,328.60,"14,972",331.00,-2.1
HLICF,8.92,-0.89,9.00,9.26,8.73,942,9.00,-0.08
HPPL,360.50,0.11,365.00,365.00,358.60,"23,227",360.10,0.4
HRL,586.00,-0.34,585.00,594.00,585.00,"38,211",588.00,-2
HURJA,234.30,-0.8,235.00,236.90,234.30,"25,750",236.20,-1.9
ICFC,625.00,0.66,617.00,625.00,615.00,"2,028",620.90,4.1
ICFCD83,"1,120.00",0,"1,120.00","1,120.00","1,120.00",333,"1,120.00",0
ICFCD88,"1,140.00",1.69,"1,140.00","1,140.00","1,140.00",25,"1,121.00",19
ICFCD89,"1,113.80",1.66,"1,100.00","1,110.00","1,097.60",218,"1,095.60",18.2
IGI,439.90,0.23,447.50,447.50,434.00,"2,990",438.90,1
IHL,375.00,0,375.00,379.00,370.00,"3,804",375.00,0
ILBS,890.10,-1.97,901.00,901.00,890.10,643,908.00,-17.9
ILI,421.00,-0.5,423.00,426.00,420.00,"12,328",423.10,-2.1
JBBL,338.00,-0.59,343.00,343.00,337.00,"28,817",340.00,-2
JBLB,"1,261.00",0.32,"1,257.00","1,265.00","1,251.20","2,726","1,257.00",4
JFL,401.00,0,401.20,405.00,400.00,"6,612",401.00,0
JHAPA,"1,308.00",3.81,"1,250.00","1,326.00","1,225.00","13,500","1,260.00",48
JOSHI,267.00,-0.37,265.00,270.00,262.00,"2,649",268.00,-1
JSLBB,"1,031.00",1.28,"1,048.50","1,048.50","1,000.00",469,"1,018.00",13
KBL,208.00,0,210.50,210.90,207.10,"67,682",208.00,0
KBLD86,"1,166.70",-2.77,"1,200.00","1,200.00","1,200.00",1,"1,200.00",-33.3
KBLD90,"1,224.00",1.57,"1,224.00","1,224.00","1,224.00","4,953","1,205.10",18.9
KBSH,"1,357.00",-2.37,"1,352.30","1,358.90","1,308.00",418,"1,390.00",-33
KDBY,10.95,0.74,10.87,11.00,10.86,"4,500",10.87,0.08
KDL,780.00,-1.27,790.00,800.00,780.00,"3,102",790.00,-10
KEF,10.71,2.98,10.40,10.71,10.10,"149,500",10.40,0.31
KHPL,914.00,-1.72,950.00,950.00,889.90,"14,555",930.00,-16
KKHC,240.90,1.6,244.00,244.00,236.70,"50,669",237.10,3.8
KMCDB,821.00,-10.76,892.40,892.40,820.60,"2,723",920.00,-99
KPCL,475.00,-0.42,480.00,480.00,472.10,"4,498",477.00,-2
KSBBL,475.00,-0.04,475.40,476.00,472.00,"12,549",475.20,-0.2
KSY,9.65,-1.03,9.75,9.80,9.65,"4,000",9.75,-0.1
LBBL,479.90,0.19,477.40,484.90,477.40,"121,893",479.00,0.9
LBBLD89,"1,265.00",0.4,"1,255.00","1,265.00","1,255.00",255,"1,260.00",5
LBLD88,"1,088.00",-0.06,"1,088.50","1,088.50","1,088.50",25,"1,088.70",-0.7
LEC,212.60,-0.42,214.00,215.00,210.20,"45,241",213.50,-0.9
LICN,804.90,0.12,791.10,807.00,791.10,"6,708",803.90,1
LLBS,923.00,0,923.00,923.00,923.00,18,923.00,0
LSL,216.30,-0.78,218.60,218.70,216.10,"151,428",218.00,-1.7
LUK,10.25,-2.75,10.25,10.25,10.25,"1,000",10.54,-0.29
LVF2,9.80,0,9.60,9.80,9.60,400,9.80,0
MABEL,670.00,-2.05,669.40,684.00,667.10,"4,876",684.00,-14
MAKAR,478.20,-0.48,480.00,481.50,472.30,"2,550",480.50,-2.3
MANDU,823.00,0.85,812.60,828.00,791.70,631,816.10,6.9
MATRI,850.00,-1.05,860.00,880.00,846.00,604,859.00,-9
MBJC,277.00,0,275.80,280.00,275.50,"20,247",277.00,0
MBL,243.00,-0.21,247.70,247.70,243.00,"32,449",243.50,-0.5
MBLD87,"1,147.00",-0.09,"1,147.00","1,147.00","1,147.00",20,"1,148.00",-1
MBLEF,9.98,0.3,10.00,10.23,9.95,"66,900",9.95,0.03
MCHL,302.00,0.33,301.10,304.90,292.10,"8,061",301.00,1
MDB,587.00,-0.51,590.00,590.00,580.00,"5,400",590.00,-3
MEHL,344.00,0.53,342.20,344.40,326.90,"5,828",342.20,1.8
MEL,225.00,0,213.80,228.00,213.80,"8,157",225.00,0
